VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.68732,  6.30283E-06,  0.71016,  0.69546,  6.37748E-06,  0.71857,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.01099
1, 1,  0.71016,  6.29942E-06,  0.68732,  0.71857,  6.37403E-06,  0.69546,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.01591
2, 2,  0.67499, -6.07385E-06,  0.69742, -0.69545,  6.25804E-06, -0.71857,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.01099
3, 3,  0.69742, -6.07726E-06,  0.67499, -0.71857,  6.26155E-06, -0.69545,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.01591
4, 2,  0.67499, -6.07385E-06,  0.69742, -0.69545,  6.25804E-06, -0.71857,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.01099
5, 1,  0.71016,  6.29942E-06,  0.68732,  0.71857,  6.37403E-06,  0.69546,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.01591
6, 1,  0.71016,  6.29942E-06,  0.68732,  0.71857,  6.37403E-06,  0.69546,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.01591
7, 4,  0.73225,  6.29553E-06,  0.66374,  0.74092,  6.37003E-06,  0.6716,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02085
8, 3,  0.69742, -6.07726E-06,  0.67499, -0.71857,  6.26155E-06, -0.69545,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.01591
9, 5,  0.71912, -6.08116E-06,  0.65183, -0.74092,  6.26551E-06, -0.67159,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.02085
10, 3,  0.69742, -6.07726E-06,  0.67499, -0.71857,  6.26155E-06, -0.69545,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.01591
11, 4,  0.73225,  6.29553E-06,  0.66374,  0.74092,  6.37003E-06,  0.6716,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02085
12, 4,  0.73225,  6.29553E-06,  0.66374,  0.74092,  6.37003E-06,  0.6716,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02085
13, 6,  0.75357,  6.29163E-06,  0.63946,  0.76248,  6.36598E-06,  0.64701,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02581
14, 5,  0.71912, -6.08116E-06,  0.65183, -0.74092,  6.26551E-06, -0.67159,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.02085
15, 7,  0.74006, -6.08506E-06,  0.62798, -0.76249,  6.26942E-06, -0.647,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.02581
16, 5,  0.71912, -6.08116E-06,  0.65183, -0.74092,  6.26551E-06, -0.67159,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.02085
17, 6,  0.75357,  6.29163E-06,  0.63946,  0.76248,  6.36598E-06,  0.64701,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02581
18, 6,  0.75357,  6.29163E-06,  0.63946,  0.76248,  6.36598E-06,  0.64701,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02581
19, 8,  0.76023, -6.08896E-06,  0.60345, -0.78324,  6.27328E-06, -0.62171,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03078
20, 7,  0.74006, -6.08506E-06,  0.62798, -0.76249,  6.26942E-06, -0.647,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.02581
21, 8,  0.76023, -6.08896E-06,  0.60345, -0.78324,  6.27328E-06, -0.62171,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03078
22, 6,  0.75357,  6.29163E-06,  0.63946,  0.76248,  6.36598E-06,  0.64701,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.02581
23, 9,  0.77411,  6.28724E-06,  0.61448,  0.78323,  6.36139E-06,  0.62173,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.03078
24, 10,  0.79383,  6.28335E-06,  0.58883,  0.80316,  6.35725E-06,  0.59576,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.03574
25, 8,  0.76023, -6.08896E-06,  0.60345, -0.78324,  6.27328E-06, -0.62171,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03078
26, 9,  0.77411,  6.28724E-06,  0.61448,  0.78323,  6.36139E-06,  0.62173,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.03078
27, 11,  0.7796, -6.09334E-06,  0.57826, -0.80318,  6.27760E-06, -0.59574,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03574
28, 8,  0.76023, -6.08896E-06,  0.60345, -0.78324,  6.27328E-06, -0.62171,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03078
29, 10,  0.79383,  6.28335E-06,  0.58883,  0.80316,  6.35725E-06,  0.59576,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.03574
30, 12,  0.81272,  6.27896E-06,  0.56253,  0.82225,  6.35258E-06,  0.56913,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.04071
31, 11,  0.7796, -6.09334E-06,  0.57826, -0.80318,  6.27760E-06, -0.59574,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03574
32, 10,  0.79383,  6.28335E-06,  0.58883,  0.80316,  6.35725E-06,  0.59576,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.03574
33, 13,  0.79816, -6.09724E-06,  0.55242, -0.82226,  6.28138E-06, -0.56911,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.04071
34, 11,  0.7796, -6.09334E-06,  0.57826, -0.80318,  6.27760E-06, -0.59574,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.03574
35, 12,  0.81272,  6.27896E-06,  0.56253,  0.82225,  6.35258E-06,  0.56913,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.04071
36, 14,  0.83077,  6.27458E-06,  0.5356,  0.84047,  6.34789E-06,  0.54185,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.04569
37, 13,  0.79816, -6.09724E-06,  0.55242, -0.82226,  6.28138E-06, -0.56911,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.04071
38, 12,  0.81272,  6.27896E-06,  0.56253,  0.82225,  6.35258E-06,  0.56913,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.04071
39, 15,  0.81588, -6.10162E-06,  0.52597, -0.84049,  6.28564E-06, -0.54183,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.04569
40, 13,  0.79816, -6.09724E-06,  0.55242, -0.82226,  6.28138E-06, -0.56911,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.04071
41, 14,  0.83077,  6.27458E-06,  0.5356,  0.84047,  6.34789E-06,  0.54185,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.04569
42, 16,  0.84794,  6.27019E-06,  0.50805,  0.85781,  6.34318E-06,  0.51396,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.05066
43, 15,  0.81588, -6.10162E-06,  0.52597, -0.84049,  6.28564E-06, -0.54183,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.04569
44, 14,  0.83077,  6.27458E-06,  0.5356,  0.84047,  6.34789E-06,  0.54185,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.04569
45, 17,  0.83275, -6.10601E-06,  0.49892, -0.85783,  6.28988E-06, -0.51394,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.05066
46, 15,  0.81588, -6.10162E-06,  0.52597, -0.84049,  6.28564E-06, -0.54183,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.04569
47, 16,  0.84794,  6.27019E-06,  0.50805,  0.85781,  6.34318E-06,  0.51396,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.05066
48, 18,  0.86423,  6.26532E-06,  0.47991,  0.87425,  6.33797E-06,  0.48547,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.05565
49, 17,  0.83275, -6.10601E-06,  0.49892, -0.85783,  6.28988E-06, -0.51394,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.05066
50, 16,  0.84794,  6.27019E-06,  0.50805,  0.85781,  6.34318E-06,  0.51396,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.05066
51, 19,  0.84874, -6.11039E-06,  0.47128, -0.87426,  6.29411E-06, -0.48545,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.05565
52, 17,  0.83275, -6.10601E-06,  0.49892, -0.85783,  6.28988E-06, -0.51394,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.05066
53, 18,  0.86423,  6.26532E-06,  0.47991,  0.87425,  6.33797E-06,  0.48547,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.05565
54, 20,  0.87961,  6.26094E-06,  0.45119,  0.88977,  6.33326E-06,  0.45641,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06064
55, 19,  0.84874, -6.11039E-06,  0.47128, -0.87426,  6.29411E-06, -0.48545,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.05565
56, 18,  0.86423,  6.26532E-06,  0.47991,  0.87425,  6.33797E-06,  0.48547,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.05565
57, 21,  0.86385, -6.11526E-06,  0.44308, -0.88978,  6.29886E-06, -0.45638,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.06064
58, 19,  0.84874, -6.11039E-06,  0.47128, -0.87426,  6.29411E-06, -0.48545,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.05565
59, 20,  0.87961,  6.26094E-06,  0.45119,  0.88977,  6.33326E-06,  0.45641,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06064
60, 22,  0.89406,  6.25606E-06,  0.42192,  0.90435,  6.32807E-06,  0.42678,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06565
61, 21,  0.86385, -6.11526E-06,  0.44308, -0.88978,  6.29886E-06, -0.45638,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.06064
62, 20,  0.87961,  6.26094E-06,  0.45119,  0.88977,  6.33326E-06,  0.45641,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06064
63, 23,  0.87804, -6.11965E-06,  0.41434, -0.90436,  6.30311E-06, -0.42676,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.06565
64, 21,  0.86385, -6.11526E-06,  0.44308, -0.88978,  6.29886E-06, -0.45638,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.06064
65, 22,  0.89406,  6.25606E-06,  0.42192,  0.90435,  6.32807E-06,  0.42678,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06565
66, 22,  0.89406,  6.25606E-06,  0.42192,  0.90435,  6.32807E-06,  0.42678,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06565
67, 24,  0.8913, -6.12452E-06,  0.38507, -0.91799,  6.30790E-06, -0.3966,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07066
68, 23,  0.87804, -6.11965E-06,  0.41434, -0.90436,  6.30311E-06, -0.42676,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.06565
69, 24,  0.8913, -6.12452E-06,  0.38507, -0.91799,  6.30790E-06, -0.3966,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07066
70, 22,  0.89406,  6.25606E-06,  0.42192,  0.90435,  6.32807E-06,  0.42678,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.06565
71, 25,  0.90757,  6.25119E-06,  0.39212,  0.91798,  6.32292E-06,  0.39662,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.07066
72, 25,  0.90757,  6.25119E-06,  0.39212,  0.91798,  6.32292E-06,  0.39662,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.07066
73, 26,  0.90361, -6.12939E-06,  0.3553, -0.93064,  6.31273E-06, -0.36593,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07569
74, 24,  0.8913, -6.12452E-06,  0.38507, -0.91799,  6.30790E-06, -0.3966,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07066
75, 26,  0.90361, -6.12939E-06,  0.3553, -0.93064,  6.31273E-06, -0.36593,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07569
76, 25,  0.90757,  6.25119E-06,  0.39212,  0.91798,  6.32292E-06,  0.39662,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.07066
77, 27,  0.92011,  6.24632E-06,  0.3618,  0.93064,  6.31781E-06,  0.36594,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.07569
78, 28,  0.93166,  6.24145E-06,  0.33099,  0.9423,  6.31274E-06,  0.33477,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.08073
79, 26,  0.90361, -6.12939E-06,  0.3553, -0.93064,  6.31273E-06, -0.36593,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07569
80, 27,  0.92011,  6.24632E-06,  0.3618,  0.93064,  6.31781E-06,  0.36594,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.07569
81, 26,  0.90361, -6.12939E-06,  0.3553, -0.93064,  6.31273E-06, -0.36593,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.07569
82, 28,  0.93166,  6.24145E-06,  0.33099,  0.9423,  6.31274E-06,  0.33477,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.08073
83, 29,  0.91496, -6.13427E-06,  0.32505, -0.9423,  6.31761E-06, -0.33476,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.08073
84, 30,  0.9422,  6.23609E-06,  0.2997,  0.95295,  6.30724E-06,  0.30312,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.08578
85, 29,  0.91496, -6.13427E-06,  0.32505, -0.9423,  6.31761E-06, -0.33476,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.08073
86, 28,  0.93166,  6.24145E-06,  0.33099,  0.9423,  6.31274E-06,  0.33477,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.08073
87, 29,  0.91496, -6.13427E-06,  0.32505, -0.9423,  6.31761E-06, -0.33476,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.08073
88, 30,  0.9422,  6.23609E-06,  0.2997,  0.95295,  6.30724E-06,  0.30312,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.08578
89, 31,  0.92531, -6.13962E-06,  0.29432, -0.95295,  6.32304E-06, -0.30312,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.08578
90, 32,  0.95172,  6.23122E-06,  0.26796,  0.96258,  6.30229E-06,  0.27101,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09085
91, 31,  0.92531, -6.13962E-06,  0.29432, -0.95295,  6.32304E-06, -0.30312,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.08578
92, 30,  0.9422,  6.23609E-06,  0.2997,  0.95295,  6.30724E-06,  0.30312,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.08578
93, 31,  0.92531, -6.13962E-06,  0.29432, -0.95295,  6.32304E-06, -0.30312,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.08578
94, 32,  0.95172,  6.23122E-06,  0.26796,  0.96258,  6.30229E-06,  0.27101,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09085
95, 33,  0.93466, -6.14450E-06,  0.26315, -0.96258,  6.32803E-06, -0.27101,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.09085
96, 34,  0.96019,  6.22586E-06,  0.23578,  0.97115,  6.29690E-06,  0.23847,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09594
97, 33,  0.93466, -6.14450E-06,  0.26315, -0.96258,  6.32803E-06, -0.27101,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.09085
98, 32,  0.95172,  6.23122E-06,  0.26796,  0.96258,  6.30229E-06,  0.27101,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09085
99, 33,  0.93466, -6.14450E-06,  0.26315, -0.96258,  6.32803E-06, -0.27101,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.09085
100, 34,  0.96019,  6.22586E-06,  0.23578,  0.97115,  6.29690E-06,  0.23847,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09594
101, 35,  0.94298, -6.14986E-06,  0.23156, -0.97115,  6.33359E-06, -0.23848,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.09594
102, 34,  0.96019,  6.22586E-06,  0.23578,  0.97115,  6.29690E-06,  0.23847,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09594
103, 36,  0.95025, -6.15473E-06,  0.19955, -0.97865,  6.33871E-06, -0.20552,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10105
104, 35,  0.94298, -6.14986E-06,  0.23156, -0.97115,  6.33359E-06, -0.23848,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.09594
105, 36,  0.95025, -6.15473E-06,  0.19955, -0.97865,  6.33871E-06, -0.20552,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10105
106, 34,  0.96019,  6.22586E-06,  0.23578,  0.97115,  6.29690E-06,  0.23847,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.09594
107, 37,  0.9676,  6.22050E-06,  0.20318,  0.97866,  6.29158E-06,  0.20551,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.10105
108, 37,  0.9676,  6.22050E-06,  0.20318,  0.97866,  6.29158E-06,  0.20551,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.10105
109, 38,  0.95645, -6.16009E-06,  0.16716, -0.98507,  6.34438E-06, -0.17216,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10618
110, 36,  0.95025, -6.15473E-06,  0.19955, -0.97865,  6.33871E-06, -0.20552,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10105
111, 38,  0.95645, -6.16009E-06,  0.16716, -0.98507,  6.34438E-06, -0.17216,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10618
112, 37,  0.9676,  6.22050E-06,  0.20318,  0.97866,  6.29158E-06,  0.20551,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.10105
113, 39,  0.97392,  6.21514E-06,  0.17019,  0.98507,  6.28631E-06,  0.17214,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.10618
114, 40,  0.97914,  6.20978E-06,  0.13683,  0.99038,  6.28107E-06,  0.1384,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11134
115, 38,  0.95645, -6.16009E-06,  0.16716, -0.98507,  6.34438E-06, -0.17216,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10618
116, 39,  0.97392,  6.21514E-06,  0.17019,  0.98507,  6.28631E-06,  0.17214,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.10618
117, 38,  0.95645, -6.16009E-06,  0.16716, -0.98507,  6.34438E-06, -0.17216,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.10618
118, 40,  0.97914,  6.20978E-06,  0.13683,  0.99038,  6.28107E-06,  0.1384,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11134
119, 41,  0.96158, -6.16545E-06,  0.13439, -0.99037,  6.35009E-06, -0.13841,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.11134
120, 42,  0.98323,  6.20393E-06,  0.1031,  0.99455,  6.27536E-06,  0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11653
121, 41,  0.96158, -6.16545E-06,  0.13439, -0.99037,  6.35009E-06, -0.13841,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.11134
122, 40,  0.97914,  6.20978E-06,  0.13683,  0.99038,  6.28107E-06,  0.1384,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11134
123, 41,  0.96158, -6.16545E-06,  0.13439, -0.99037,  6.35009E-06, -0.13841,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.11134
124, 42,  0.98323,  6.20393E-06,  0.1031,  0.99455,  6.27536E-06,  0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11653
125, 43,  0.96559, -6.17080E-06,  0.10127, -0.99455,  6.35582E-06, -0.10431,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.11653
126, 42,  0.98323,  6.20393E-06,  0.1031,  0.99455,  6.27536E-06,  0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11653
127, 44,  0.96849, -6.17616E-06,  0.06782, -0.99756,  6.36154E-06, -0.06986,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.12175
128, 43,  0.96559, -6.17080E-06,  0.10127, -0.99455,  6.35582E-06, -0.10431,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.11653
129, 44,  0.96849, -6.17616E-06,  0.06782, -0.99756,  6.36154E-06, -0.06986,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.12175
130, 42,  0.98323,  6.20393E-06,  0.1031,  0.99455,  6.27536E-06,  0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.11653
131, 45,  0.98617,  6.19857E-06,  0.06904,  0.99756,  6.27013E-06,  0.06984,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.12175
132, 45,  0.98617,  6.19857E-06,  0.06904,  0.99756,  6.27013E-06,  0.06984,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.12175
133, 46,  0.97024, -6.18201E-06,  0.03406, -0.99938,  6.36772E-06, -0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.127
134, 44,  0.96849, -6.17616E-06,  0.06782, -0.99756,  6.36154E-06, -0.06986,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.12175
135, 46,  0.97024, -6.18201E-06,  0.03406, -0.99938,  6.36772E-06, -0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.127
136, 45,  0.98617,  6.19857E-06,  0.06904,  0.99756,  6.27013E-06,  0.06984,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.12175
137, 47,  0.98796,  6.19321E-06,  0.03467,  0.99938,  6.26486E-06,  0.03507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.127
138, 48,  0.98855,  6.18737E-06,  4.55014E-07,  1.00,  6.25901E-06,  4.60283E-07,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.13229
139, 46,  0.97024, -6.18201E-06,  0.03406, -0.99938,  6.36772E-06, -0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.127
140, 47,  0.98796,  6.19321E-06,  0.03467,  0.99938,  6.26486E-06,  0.03507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.127
141, 46,  0.97024, -6.18201E-06,  0.03406, -0.99938,  6.36772E-06, -0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.127
142, 48,  0.98855,  6.18737E-06,  4.55014E-07,  1.00,  6.25901E-06,  4.60283E-07,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.13229
143, 49,  0.97083, -6.18737E-06, -2.86393E-07, -1.00,  6.37330E-06,  2.95000E-07,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.13229
144, 50,  0.98796,  6.18152E-06, -0.03467,  0.99938,  6.25304E-06, -0.03507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.1376
145, 49,  0.97083, -6.18737E-06, -2.86393E-07, -1.00,  6.37330E-06,  2.95000E-07,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.13229
146, 48,  0.98855,  6.18737E-06,  4.55014E-07,  1.00,  6.25901E-06,  4.60283E-07,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.13229
147, 49,  0.97083, -6.18737E-06, -2.86393E-07, -1.00,  6.37330E-06,  2.95000E-07,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.13229
148, 50,  0.98796,  6.18152E-06, -0.03467,  0.99938,  6.25304E-06, -0.03507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.1376
149, 51,  0.97024, -6.19273E-06, -0.03406, -0.99938,  6.37876E-06,  0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.1376
150, 52,  0.98617,  6.17616E-06, -0.06904,  0.99756,  6.24747E-06, -0.06984,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.14292
151, 51,  0.97024, -6.19273E-06, -0.03406, -0.99938,  6.37876E-06,  0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.1376
152, 50,  0.98796,  6.18152E-06, -0.03467,  0.99938,  6.25304E-06, -0.03507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.1376
153, 51,  0.97024, -6.19273E-06, -0.03406, -0.99938,  6.37876E-06,  0.03508,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.1376
154, 52,  0.98617,  6.17616E-06, -0.06904,  0.99756,  6.24747E-06, -0.06984,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.14292
155, 53,  0.96849, -6.19857E-06, -0.06782, -0.99756,  6.38462E-06,  0.06986,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.14292
156, 54,  0.98323,  6.17080E-06, -0.1031,  0.99455,  6.24185E-06, -0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.14821
157, 53,  0.96849, -6.19857E-06, -0.06782, -0.99756,  6.38462E-06,  0.06986,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.14292
158, 52,  0.98617,  6.17616E-06, -0.06904,  0.99756,  6.24747E-06, -0.06984,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.14292
159, 53,  0.96849, -6.19857E-06, -0.06782, -0.99756,  6.38462E-06,  0.06986,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.14292
160, 54,  0.98323,  6.17080E-06, -0.1031,  0.99455,  6.24185E-06, -0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.14821
161, 55,  0.96559, -6.20393E-06, -0.10127, -0.99454,  6.38994E-06,  0.10431,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.14821
162, 56,  0.97914,  6.16496E-06, -0.13683,  0.99038,  6.23573E-06, -0.1384,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.15346
163, 55,  0.96559, -6.20393E-06, -0.10127, -0.99454,  6.38994E-06,  0.10431,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.14821
164, 54,  0.98323,  6.17080E-06, -0.1031,  0.99455,  6.24185E-06, -0.10429,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.14821
165, 55,  0.96559, -6.20393E-06, -0.10127, -0.99454,  6.38994E-06,  0.10431,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.14821
166, 56,  0.97914,  6.16496E-06, -0.13683,  0.99038,  6.23573E-06, -0.1384,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.15346
167, 57,  0.96158, -6.20929E-06, -0.13439, -0.99037,  6.39525E-06,  0.13841,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.15346
168, 58,  0.97392,  6.15960E-06, -0.17019,  0.98507,  6.23013E-06, -0.17214,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.15868
169, 57,  0.96158, -6.20929E-06, -0.13439, -0.99037,  6.39525E-06,  0.13841,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.15346
170, 56,  0.97914,  6.16496E-06, -0.13683,  0.99038,  6.23573E-06, -0.1384,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.15346
171, 57,  0.96158, -6.20929E-06, -0.13439, -0.99037,  6.39525E-06,  0.13841,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.15346
172, 58,  0.97392,  6.15960E-06, -0.17019,  0.98507,  6.23013E-06, -0.17214,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.15868
173, 59,  0.95645, -6.21465E-06, -0.16716, -0.98507,  6.40058E-06,  0.17216,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.15868
174, 60,  0.9676,  6.15424E-06, -0.20318,  0.97866,  6.22456E-06, -0.2055,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.16386
